silhouette,calinski_harabasz,davies_bouldin,dunn,k,silhouette_improvement,calinski_improvement,dunn_improvement,davies_bouldin_improvement,silhouette_improvement_norm,calinski_improvement_norm,davies_bouldin_improvement_norm,dunn_improvement_norm,improvement_composite_score,silhouette_norm,calinski_norm,davies_bouldin_norm,dunn_norm,absolute_composite_score
0.4780579923965444,4713.474103520289,0.7943059793104112,0.0032839362378176934,20,,,,,0.0,0.0,0.0,0.0,0.0,0.7390289961982722,0.19828749018813024,0.23978733745343472,0.0,0.2942759559599593
0.47980692776974426,4603.000437482561,0.7471177055805344,0.0032839362378176934,21,0.001748935373199867,-110.47366603772753,0.0,0.047188273729876884,0.6489052058426291,0.05223129480849879,1.0,0.0,0.42528412516278197,0.7399034638848722,0.11336957144227315,0.8482184751305729,0.0,0.42537287761442955
0.4600609771171074,4455.512694502932,0.7441947175024963,0.003290615272342783,22,-0.019745950652636846,-147.48774297962882,6.679034525089705e-06,0.0029229880780380357,0.3719859162080286,0.013115758082710215,0.41582365506765867,0.016754175140399775,0.20441987612469933,0.7300304885585537,0.0,0.8859065874764033,0.0022728941776938823,0.4045524925531627
0.4725503277070338,4876.492417451666,0.7534062588427396,0.003419382330296874,23,0.012489350589926396,420.979722948734,0.00012876705795409086,-0.009211541340243268,0.7872743113415633,0.6138577427022153,0.25568224993135036,0.3230086374269597,0.4949557353505221,0.7362751638535169,0.32359496329926796,0.7671357968878995,0.04609268507759089,0.46827465227956877
0.42393027845816483,5121.12587630635,0.7792290903500213,0.0035083525651802188,24,-0.04862004924886898,244.63345885468334,8.897023488334483e-05,-0.025822831507281707,0.0,0.4274994882344995,0.03646028781151611,0.22317939695004715,0.1717847932490157,0.7119651392290824,0.5116376428501176,0.4341841224537296,0.07636950549149579,0.4335391025061064
0.42236753545904426,5032.504388070146,0.776463952976157,0.0036407228566069506,25,-0.00156274299912057,-88.62148823620373,0.00013237029142673185,0.0027651373738643015,0.6062407496897128,0.07532412148294564,0.4137404730424823,0.33204724988593143,0.356838148525268,0.7111837677295221,0.4435168625131199,0.46983695620315824,0.12141548684602703,0.4364882683229568
0.4224698529092719,4950.637038893411,0.7844049383860132,0.0037152189771160068,26,0.00010231745022765137,-81.86734917673493,7.449612050905614e-05,-0.007940985409856216,0.6276917755885221,0.08246172415358417,0.27244998809266013,0.1868714775467179,0.2923687413453711,0.7112349264546359,0.3805877939425654,0.3674483243397866,0.1467667255512262,0.4015094425720535
0.41693154409518823,4902.352830939699,0.7831141869079327,0.0037434720326397024,27,-0.005538308814083681,-48.28420795371221,2.825305552369567e-05,0.001290751478080554,0.5550234108281855,0.117951535123027,0.39428275689007414,0.07087201581565099,0.2845324296642344,0.7084657720475941,0.34347311680022136,0.38409087826669097,0.15638131957086218,0.3981027716713421
0.44593297818249117,5688.729539805709,0.7970178314559256,0.0037434720326397024,28,0.029001434087302935,786.3767088660097,0.0,-0.013903644547992977,1.0,1.0,0.19375978266190724,0.0,0.5484399456654768,0.7229664890912456,0.947938197594348,0.20482154710576106,0.15638131957086218,0.5080268883405542
0.4464195548495049,5528.830675326506,0.7843176692051179,0.0040025551209832535,29,0.00048657666701373836,-159.89886447920253,0.000259083088343551,0.012700162250807723,0.632642199108798,0.0,0.544854650528505,0.6499028297754191,0.4568499198531806,0.7232097774247525,0.8250285552478845,0.3685735464091555,0.24454802103391501,0.5403399750289268
0.4454839601910667,5377.173862973707,0.8129032367747644,0.004006327294061084,30,-0.0009355946584382324,-151.65681235279862,3.77217307783069e-06,-0.028585567569646475,0.6143203213975377,0.00870999142170302,0.0,0.00946239283065054,0.1581231764124728,0.7227419800955334,0.7084543405003393,0.0,0.245831702109922,0.41925700567644864
0.44728407465573233,5290.8582770195635,0.7906839190019351,0.004214102609137731,31,0.0018001144646656586,-86.3155859541439,0.00020777531507664652,0.02221931777282926,0.6495645476803024,0.07776094046782987,0.6704805308952354,0.5211986860629573,0.47975117627658126,0.7236420373278661,0.6421060406978155,0.2864890728641545,0.31653822445715885,0.49219384383674875
0.44655681166703215,5149.546160285325,0.779715108986792,0.004260911502115403,32,-0.0007272629887001836,-141.31211673423877,4.6808892977672455e-05,0.01096881001514316,0.6170042648212388,0.019642003099855036,0.5220057068037073,0.11741882574946272,0.319017700118566,0.7232784058335161,0.5334834949180357,0.4279175471219975,0.33246742199515467,0.504286717467176
0.4486927824933397,5173.704764843033,0.7866192077107722,0.004287488560317715,33,0.002135970826307565,24.158604557708713,2.6577058202311744e-05,-0.006904098723980234,0.653891395702355,0.1945072600640458,0.2861339543281492,0.06666782244730933,0.30030010813546487,0.7243463912466699,0.5520535170094923,0.3388982143675773,0.3415116694266282,0.489202448012592
0.45509267864797154,5437.568137264022,0.7967055311844078,0.0044979147238096906,34,0.006399896154631823,263.8633724209885,0.0002104261634919757,-0.010086323473635583,0.7088236792024984,0.44782117264438537,0.24413760446545102,0.5278482666953437,0.4821576807519196,0.7275463393239858,0.7548776761317331,0.20884825108277427,0.4131202829228953,0.5260981373653472
